"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"SBIN","EQ","17-Sep-2025","831.55","834.30","858.15","831.00","856.90","857.15","847.27","1,72,43,938","14,61,03,49,915.40","2,40,034","82,96,103","48.11"
"SBIN","EQ","16-Sep-2025","824.75","825.10","833.00","821.65","832.65","831.55","829.33","94,67,531","7,85,17,53,614.45","1,76,946","45,27,713","47.82"
"SBIN","EQ","15-Sep-2025","823.55","823.55","827.80","821.10","824.00","824.75","824.82","38,52,494","3,17,76,18,594.55","1,12,933","16,78,632","43.57"
"SBIN","EQ","12-Sep-2025","823.65","824.10","825.80","819.80","823.20","823.55","822.85","50,78,018","4,17,84,28,627.05","97,209","33,22,711","65.43"
"SBIN","EQ","11-Sep-2025","818.20","819.10","825.70","819.00","824.60","823.65","823.20","74,25,055","6,11,22,87,855.00","1,27,782","36,55,874","49.24"
"SBIN","EQ","10-Sep-2025","808.85","812.00","824.60","810.40","818.45","818.20","818.64","72,85,853","5,96,44,83,743.85","1,06,322","43,13,967","59.21"
"SBIN","EQ","09-Sep-2025","808.80","812.00","812.35","805.60","808.00","808.85","808.44","45,67,272","3,69,23,46,687.10","1,04,998","16,24,783","35.57"
"SBIN","EQ","08-Sep-2025","806.60","808.00","813.85","806.80","808.00","808.80","810.20","46,14,227","3,73,84,54,020.95","1,21,620","28,05,764","60.81"
"SBIN","EQ","05-Sep-2025","809.40","811.50","812.50","803.65","806.95","806.60","807.29","51,94,842","4,19,37,21,391.00","1,02,729","24,19,904","46.58"
"SBIN","EQ","04-Sep-2025","812.15","814.65","816.75","808.00","809.85","809.40","811.23","44,71,950","3,62,77,64,983.40","96,652","22,79,579","50.98"
"SBIN","EQ","03-Sep-2025","803.90","804.30","813.30","803.00","813.00","812.15","810.40","42,61,589","3,45,35,82,134.40","87,672","21,90,190","51.39"
"SBIN","EQ","02-Sep-2025","806.05","806.30","810.50","802.65","803.75","803.90","806.45","50,75,460","4,09,31,29,116.75","1,06,989","23,01,086","45.34"
"SBIN","EQ","01-Sep-2025","802.50","803.10","808.30","802.65","805.50","806.05","805.30","56,19,805","4,52,56,56,654.45","1,28,697","31,47,651","56.01"
"SBIN","EQ","29-Aug-2025","801.95","800.70","806.70","798.50","802.40","802.50","803.00","68,61,440","5,50,97,12,391.70","1,27,449","43,61,938","63.57"
"SBIN","T0","28-Aug-2025","807.85","810.00","810.00","810.00","810.00","801.95","810.00","3","2,430.00","2","1","33.33"
