"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"HEXT","EQ","19-Jan-2026","738.50","726.10","732.15","721.95","724.35","724.00","726.06","1,22,413","8,88,79,297.15","8,201","69,489","56.77"
"HEXT","EQ","16-Jan-2026","712.75","712.75","745.00","708.80","739.55","738.50","734.69","4,83,705","35,53,72,991.95","40,543","2,51,707","52.04"
"HEXT","EQ","14-Jan-2026","734.60","730.00","730.60","700.35","712.85","712.75","713.70","19,34,000","1,38,03,00,672.45","34,305","14,84,610","76.76"
"HEXT","EQ","13-Jan-2026","730.10","730.15","742.00","720.00","735.00","734.60","733.95","5,03,974","36,98,94,136.00","30,756","2,90,098","57.56"
"HEXT","EQ","12-Jan-2026","729.75","725.00","732.00","710.45","730.00","730.10","722.14","2,13,126","15,39,07,349.10","11,926","1,10,766","51.97"
"HEXT","EQ","09-Jan-2026","737.95","732.50","739.30","698.45","730.20","729.75","720.85","7,59,128","54,72,13,969.95","48,963","2,97,022","39.13"
"HEXT","EQ","08-Jan-2026","754.45","748.50","755.35","732.20","737.00","737.95","741.59","77,599","5,75,46,381.50","7,714","40,894","52.70"
"HEXT","EQ","07-Jan-2026","737.05","741.05","755.95","735.45","755.10","754.45","747.39","2,28,088","17,04,71,525.65","6,694","1,43,870","63.08"
"HEXT","EQ","06-Jan-2026","737.45","737.70","746.00","732.70","739.50","737.05","738.09","2,07,444","15,31,11,709.40","12,111","1,00,504","48.45"
"HEXT","EQ","05-Jan-2026","754.15","754.15","756.80","735.25","737.00","737.45","740.53","4,42,255","32,75,01,383.85","8,695","3,48,814","78.87"
"HEXT","EQ","02-Jan-2026","758.00","755.00","759.00","750.15","751.20","754.15","753.83","1,25,453","9,45,70,448.45","9,938","59,779","47.65"
"HEXT","EQ","01-Jan-2026","765.55","765.05","765.30","752.40","759.00","758.00","759.83","1,94,545","14,78,21,768.80","10,248","94,024","48.33"
"HEXT","EQ","31-Dec-2025","762.45","757.95","768.75","748.60","767.90","765.55","759.28","1,65,711","12,58,21,027.95","9,771","75,391","45.50"
"HEXT","EQ","30-Dec-2025","741.35","739.10","769.90","735.60","759.00","762.45","756.52","2,71,549","20,54,31,623.20","15,411","1,25,221","46.11"
"HEXT","EQ","29-Dec-2025","751.20","740.00","753.25","737.50","750.00","741.35","745.28","1,37,737","10,26,52,497.10","8,826","46,822","33.99"
"HEXT","EQ","26-Dec-2025","748.40","748.40","754.20","737.00","748.40","751.20","745.48","4,21,837","31,44,69,135.85","13,307","2,43,618","57.75"
"HEXT","EQ","24-Dec-2025","738.55","739.90","751.30","732.00","750.00","748.40","747.26","6,54,104","48,87,88,023.60","21,399","4,51,128","68.97"
"HEXT","EQ","23-Dec-2025","746.05","746.05","748.60","730.10","739.00","738.55","737.02","5,55,091","40,91,14,721.05","31,289","2,76,006","49.72"
"HEXT","EQ","22-Dec-2025","792.55","780.00","788.55","734.10","742.20","746.05","756.84","10,86,697","82,24,57,049.20","47,946","5,86,554","53.98"
"HEXT","EQ","19-Dec-2025","755.80","760.35","805.00","751.45","791.00","792.55","788.72","31,16,703","2,45,82,08,537.55","68,144","19,87,528","63.77"
"HEXT","EQ","18-Dec-2025","765.05","757.60","777.00","749.30","757.35","755.80","756.90","3,54,882","26,86,11,698.75","21,304","1,96,977","55.50"
"HEXT","EQ","17-Dec-2025","761.45","758.00","773.80","752.55","764.00","765.05","762.34","2,75,790","21,02,45,771.00","15,971","1,40,910","51.09"
"HEXT","EQ","16-Dec-2025","769.20","767.00","770.00","747.95","760.35","761.45","757.83","7,48,360","56,71,28,593.15","24,493","5,13,105","68.56"
"HEXT","EQ","15-Dec-2025","761.85","761.50","776.50","760.80","770.00","769.20","771.55","3,32,303","25,63,89,364.15","10,887","2,27,482","68.46"
"HEXT","EQ","12-Dec-2025","747.75","752.50","764.95","748.50","764.90","761.85","758.20","2,43,145","18,43,52,183.85","12,352","1,33,486","54.90"
"HEXT","EQ","11-Dec-2025","734.85","734.85","754.70","729.80","748.25","747.75","743.50","4,17,512","31,04,22,256.75","24,954","2,03,349","48.70"
"HEXT","EQ","10-Dec-2025","760.45","756.00","765.05","731.55","734.00","734.85","741.98","3,69,142","27,38,97,107.30","25,392","1,56,253","42.33"
"HEXT","EQ","09-Dec-2025","753.90","750.00","764.70","742.65","760.00","760.45","755.38","2,42,095","18,28,73,425.05","12,613","99,697","41.18"
"HEXT","EQ","08-Dec-2025","754.75","752.10","762.25","740.65","754.05","753.90","754.77","9,38,777","70,85,56,247.35","33,413","5,17,966","55.17"
"HEXT","EQ","05-Dec-2025","788.55","794.00","798.00","751.35","752.10","754.75","769.91","5,86,531","45,15,77,629.85","34,709","2,12,046","36.15"
"HEXT","EQ","04-Dec-2025","758.20","756.40","807.75","750.00","787.00","788.55","788.34","25,07,604","1,97,68,42,334.70","92,535","8,70,075","34.70"
"HEXT","EQ","03-Dec-2025","735.00","733.00","760.00","731.10","758.00","758.20","751.68","3,84,493","28,90,14,144.05","17,543","1,87,057","48.65"
"HEXT","EQ","02-Dec-2025","738.45","738.45","745.10","729.20","732.00","735.00","735.86","4,63,927","34,13,85,432.10","15,902","3,73,931","80.60"
"HEXT","EQ","01-Dec-2025","756.75","759.95","759.95","729.30","738.70","738.45","739.10","12,32,730","91,11,05,777.75","27,013","10,16,795","82.48"
"HEXT","EQ","28-Nov-2025","746.00","749.50","759.00","742.15","756.00","756.75","747.79","6,10,811","45,67,58,831.50","20,354","4,58,183","75.01"
