"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"KOTAKBANK","EQ","29-Oct-2025","2,160.80","2,170.00","2,174.30","2,146.90","2,151.00","2,150.50","2,154.86","14,17,783","3,05,51,21,134.40","74,876","8,90,942","62.84"
"KOTAKBANK","EQ","28-Oct-2025","2,148.60","2,142.00","2,168.10","2,142.00","2,163.80","2,160.80","2,155.37","46,60,869","10,04,59,03,258.40","1,41,135","28,28,424","60.68"
"KOTAKBANK","EQ","27-Oct-2025","2,187.00","2,172.20","2,186.00","2,122.00","2,149.40","2,148.60","2,156.70","37,19,940","8,02,27,84,950.50","1,40,758","19,60,239","52.70"
"KOTAKBANK","EQ","24-Oct-2025","2,225.60","2,238.00","2,238.00","2,168.20","2,192.50","2,187.00","2,182.38","32,58,737","7,11,17,95,460.90","84,950","17,38,692","53.35"
"KOTAKBANK","EQ","23-Oct-2025","2,197.00","2,225.00","2,244.40","2,211.00","2,220.10","2,225.60","2,232.37","42,99,221","9,59,74,62,298.40","1,55,382","25,65,342","59.67"
"KOTAKBANK","EQ","21-Oct-2025","2,213.80","2,213.80","2,219.80","2,186.90","2,192.00","2,197.00","2,198.58","2,26,804","49,86,47,508.50","12,049","77,754","34.28"
"KOTAKBANK","EQ","20-Oct-2025","2,205.80","2,214.00","2,266.00","2,200.20","2,206.90","2,213.80","2,220.50","30,41,417","6,75,34,80,698.20","1,14,490","17,16,093","56.42"
"KOTAKBANK","EQ","17-Oct-2025","2,205.40","2,203.90","2,209.90","2,190.40","2,200.00","2,205.80","2,201.17","33,41,302","7,35,47,82,034.90","1,54,286","23,57,109","70.54"
"KOTAKBANK","EQ","16-Oct-2025","2,149.60","2,152.90","2,214.60","2,152.20","2,195.00","2,205.40","2,192.48","67,38,420","14,77,38,33,040.30","1,97,028","44,92,618","66.67"
"KOTAKBANK","EQ","15-Oct-2025","2,151.80","2,155.00","2,165.90","2,141.20","2,148.20","2,149.60","2,150.34","23,08,107","4,96,32,21,629.40","1,04,574","16,78,247","72.71"
"KOTAKBANK","EQ","14-Oct-2025","2,152.10","2,149.00","2,165.00","2,141.60","2,150.00","2,151.80","2,152.52","16,04,563","3,45,38,59,986.70","87,898","8,34,294","52.00"
"KOTAKBANK","EQ","13-Oct-2025","2,150.10","2,136.00","2,156.00","2,133.80","2,151.40","2,152.10","2,148.93","21,20,004","4,55,57,32,133.60","70,605","15,01,494","70.83"
"KOTAKBANK","EQ","10-Oct-2025","2,144.60","2,145.00","2,157.80","2,136.60","2,146.10","2,150.10","2,148.24","19,36,242","4,15,95,13,655.30","83,559","13,53,582","69.91"
"KOTAKBANK","EQ","09-Oct-2025","2,117.80","2,118.00","2,152.00","2,101.30","2,140.90","2,144.60","2,134.04","31,65,497","6,75,52,82,041.10","1,34,928","19,02,474","60.10"
"KOTAKBANK","EQ","08-Oct-2025","2,126.90","2,126.50","2,132.50","2,112.20","2,112.80","2,117.80","2,121.05","8,80,495","1,86,75,78,313.00","48,192","4,90,414","55.70"
